Entry,Entry.Name,Protein.names,Gene.Names,Organism,Length,Transmembrane,Intramembrane,Gene.Ontology..cellular.component.,Gene.Ontology..biological.process.,Gene.Ontology..molecular.function.,Gene.Ontology..GO.,Gene.Ontology.IDs,Subcellular.location..CC.,Prediction,OTHER,SP.Sec.SPI.,CS.Position,N_term_md,cterm_distance,penultimate_distance,membrane_domain_count,in_biogrid,in_massspec,Reduced.CC.Terms,disprot_id,disprot_disorder_content,disprot_disorder_regions,aiupred_mean_score,aiupred_disordered_fraction,mobidb_lite_disordered_fraction
P11279,LAMP1_HUMAN,Lysosome-associated membrane glycoprotein 1 (LAMP-1) (Lysosome-associated membrane protein 1) (CD107 antigen-like family member A) (CD antigen CD107a),LAMP1,Homo sapiens (Human),417,"TRANSMEM 383..410; /note=""Helical""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00740, ECO:0000305|PubMed:37390818, ECO:0007744|PDB:8FY5, ECO:0007744|PDB:8FYF""",,autolysosome [GO:0044754]; autophagosome membrane [GO:0000421]; azurophil granule membrane [GO:0035577]; cytolytic granule membrane [GO:0101004]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; ficolin-1-rich granule membrane [GO:0101003]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; melanosome [GO:0042470]; membrane [GO:0016020]; multivesicular body [GO:0005771]; perinuclear region of cytoplasm [GO:0048471]; phagolysosome membrane [GO:0061474]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; synaptic vesicle [GO:0008021],establishment of protein localization to organelle [GO:0072594]; Golgi to lysosome transport [GO:0090160]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; lysosomal lumen acidification [GO:0007042]; positive regulation of natural killer cell degranulation [GO:0043323]; positive regulation of natural killer cell mediated cytotoxicity [GO:0045954]; protein stabilization [GO:0050821]; regulation of organelle transport along microtubule [GO:1902513],enzyme binding [GO:0019899]; ion channel inhibitor activity [GO:0008200]; protein domain specific binding [GO:0019904]; virus receptor activity [GO:0001618],autolysosome [GO:0044754]; autophagosome membrane [GO:0000421]; azurophil granule membrane [GO:0035577]; cytolytic granule membrane [GO:0101004]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; ficolin-1-rich granule membrane [GO:0101003]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; melanosome [GO:0042470]; membrane [GO:0016020]; multivesicular body [GO:0005771]; perinuclear region of cytoplasm [GO:0048471]; phagolysosome membrane [GO:0061474]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; synaptic vesicle [GO:0008021]; enzyme binding [GO:0019899]; ion channel inhibitor activity [GO:0008200]; protein domain specific binding [GO:0019904]; virus receptor activity [GO:0001618]; establishment of protein localization to organelle [GO:0072594]; Golgi to lysosome transport [GO:0090160]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; lysosomal lumen acidification [GO:0007042]; positive regulation of natural killer cell degranulation [GO:0043323]; positive regulation of natural killer cell mediated cytotoxicity [GO:0045954]; protein stabilization [GO:0050821]; regulation of organelle transport along microtubule [GO:1902513],GO:0000421; GO:0001618; GO:0005737; GO:0005764; GO:0005765; GO:0005770; GO:0005771; GO:0005829; GO:0005886; GO:0007042; GO:0008021; GO:0008200; GO:0009897; GO:0010008; GO:0016020; GO:0019899; GO:0019904; GO:0031902; GO:0035577; GO:0042383; GO:0042470; GO:0043323; GO:0044754; GO:0045954; GO:0048471; GO:0050821; GO:0061474; GO:0070062; GO:0072594; GO:0090160; GO:0101003; GO:0101004; GO:0140507; GO:1902513,"SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000269|PubMed:16176980, ECO:0000269|PubMed:17897319}; Single-pass type I membrane protein {ECO:0000255}. Endosome membrane {ECO:0000269|PubMed:16176980}; Single-pass type I membrane protein {ECO:0000255}. Late endosome membrane {ECO:0000269|PubMed:16176980}; Single-pass type I membrane protein {ECO:0000255}. Cell membrane {ECO:0000269|PubMed:2022921, ECO:0000269|PubMed:23847195}; Single-pass type I membrane protein {ECO:0000255}. Cytolytic granule membrane {ECO:0000269|PubMed:2022921, ECO:0000269|PubMed:24088571}; Single-pass type I membrane protein {ECO:0000255}. Note=This protein shuttles between lysosomes, endosomes, and the plasma membrane (By similarity). Colocalizes with OSBPL1A at the late endosome (PubMed:16176980). {ECO:0000250|UniProtKB:P05300, ECO:0000269|PubMed:16176980, ECO:0000269|PubMed:17897319}.",SP,0.000212,0.999784,CS pos: 28-29. Pr: 0.9734,False,7,,1,False,True,vacuole; cytoplasm; cytosol; endosome; side of membrane; extracellular region; secretory vesicle; vesicle; membrane; perinuclear region of cytoplasm; cell periphery; sarcolemma,,,,0.3202,0.1871,0.0911
P14770,GPIX_HUMAN,Platelet glycoprotein IX (GP-IX) (GPIX) (Glycoprotein 9) (CD antigen CD42a),GP9,Homo sapiens (Human),177,"TRANSMEM 148..168; /note=""Helical""; /evidence=""ECO:0000255""",,glycoprotein Ib-IX-V complex [GO:1990779]; plasma membrane [GO:0005886],"blood coagulation [GO:0007596]; blood coagulation, intrinsic pathway [GO:0007597]; cell adhesion [GO:0007155]; megakaryocyte development [GO:0035855]; positive regulation of platelet activation [GO:0010572]; release of sequestered calcium ion into cytosol [GO:0051209]",,"glycoprotein Ib-IX-V complex [GO:1990779]; plasma membrane [GO:0005886]; blood coagulation [GO:0007596]; blood coagulation, intrinsic pathway [GO:0007597]; cell adhesion [GO:0007155]; megakaryocyte development [GO:0035855]; positive regulation of platelet activation [GO:0010572]; release of sequestered calcium ion into cytosol [GO:0051209]",GO:0005886; GO:0007155; GO:0007596; GO:0007597; GO:0010572; GO:0035855; GO:0051209; GO:1990779,SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.,SP,0.000283,0.999696,CS pos: 16-17. Pr: 0.9779,False,9,,1,False,False,membrane protein complex; cell periphery,,,,0.1863,0.0395,0.0
P17693,HLAG_HUMAN,"HLA class I histocompatibility antigen, alpha chain G (HLA G antigen) (MHC class I antigen G) [Cleaved into: Soluble HLA class I histocompatibility antigen, alpha chain G (sHLA-G)]",HLA-G HLA-6.0 HLAG,Homo sapiens (Human),338,"TRANSMEM 309..332; /note=""Helical""; /evidence=""ECO:0000255""",,cis-Golgi network membrane [GO:0033106]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; ER to Golgi transport vesicle membrane [GO:0012507]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; filopodium membrane [GO:0031527]; Golgi membrane [GO:0000139]; lumenal side of endoplasmic reticulum membrane [GO:0098553]; membrane [GO:0016020]; MHC class I protein complex [GO:0042612]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; recycling endosome membrane [GO:0055038],"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent [GO:0002486]; antigen processing and presentation of endogenous peptide antigen via MHC class Ib [GO:0002476]; cellular defense response [GO:0006968]; immune response [GO:0006955]; immune response-inhibiting cell surface receptor signaling pathway [GO:0002767]; negative regulation of angiogenesis [GO:0016525]; negative regulation of dendritic cell differentiation [GO:2001199]; negative regulation of G0 to G1 transition [GO:0070317]; negative regulation of immune response [GO:0050777]; negative regulation of natural killer cell mediated cytotoxicity [GO:0045953]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of T cell mediated cytotoxicity [GO:0001915]; negative regulation of T cell proliferation [GO:0042130]; peripheral B cell tolerance induction [GO:0002451]; positive regulation of cellular senescence [GO:2000774]; positive regulation of endothelial cell apoptotic process [GO:2000353]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of natural killer cell cytokine production [GO:0002729]; positive regulation of regulatory T cell differentiation [GO:0045591]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; positive regulation of T cell tolerance induction [GO:0002666]; positive regulation of tolerance induction [GO:0002645]; protection from natural killer cell mediated cytotoxicity [GO:0042270]; protein homotrimerization [GO:0070207]",CD8 receptor binding [GO:0042610]; identical protein binding [GO:0042802]; peptide antigen binding [GO:0042605]; protein homodimerization activity [GO:0042803]; signaling receptor binding [GO:0005102],"cis-Golgi network membrane [GO:0033106]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; ER to Golgi transport vesicle membrane [GO:0012507]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; filopodium membrane [GO:0031527]; Golgi membrane [GO:0000139]; lumenal side of endoplasmic reticulum membrane [GO:0098553]; membrane [GO:0016020]; MHC class I protein complex [GO:0042612]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; recycling endosome membrane [GO:0055038]; CD8 receptor binding [GO:0042610]; identical protein binding [GO:0042802]; peptide antigen binding [GO:0042605]; protein homodimerization activity [GO:0042803]; signaling receptor binding [GO:0005102]; antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent [GO:0002486]; antigen processing and presentation of endogenous peptide antigen via MHC class Ib [GO:0002476]; cellular defense response [GO:0006968]; immune response [GO:0006955]; immune response-inhibiting cell surface receptor signaling pathway [GO:0002767]; negative regulation of angiogenesis [GO:0016525]; negative regulation of dendritic cell differentiation [GO:2001199]; negative regulation of G0 to G1 transition [GO:0070317]; negative regulation of immune response [GO:0050777]; negative regulation of natural killer cell mediated cytotoxicity [GO:0045953]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of T cell mediated cytotoxicity [GO:0001915]; negative regulation of T cell proliferation [GO:0042130]; peripheral B cell tolerance induction [GO:0002451]; positive regulation of cellular senescence [GO:2000774]; positive regulation of endothelial cell apoptotic process [GO:2000353]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of natural killer cell cytokine production [GO:0002729]; positive regulation of regulatory T cell differentiation [GO:0045591]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; positive regulation of T cell tolerance induction [GO:0002666]; positive regulation of tolerance induction [GO:0002645]; protection from natural killer cell mediated cytotoxicity [GO:0042270]; protein homotrimerization [GO:0070207]",GO:0000139; GO:0001915; GO:0001916; GO:0002451; GO:0002476; GO:0002486; GO:0002645; GO:0002666; GO:0002729; GO:0002767; GO:0005102; GO:0005615; GO:0005769; GO:0005886; GO:0006955; GO:0006968; GO:0009897; GO:0012507; GO:0016020; GO:0016525; GO:0030670; GO:0031527; GO:0031901; GO:0032735; GO:0033106; GO:0042130; GO:0042270; GO:0042605; GO:0042610; GO:0042612; GO:0042802; GO:0042803; GO:0045591; GO:0045953; GO:0050777; GO:0051898; GO:0055038; GO:0060907; GO:0070207; GO:0070317; GO:0098553; GO:2000353; GO:2000774; GO:2001199,"SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:20448110, ECO:0000269|PubMed:7584149}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:11520457}. Early endosome membrane {ECO:0000269|PubMed:16366734}.; SUBCELLULAR LOCATION: [Soluble HLA class I histocompatibility antigen, alpha chain G]: Secreted {ECO:0000269|PubMed:23737137}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000269|PubMed:11290782}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane {ECO:0000269|PubMed:11290782}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane {ECO:0000269|PubMed:11290782}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted {ECO:0000269|PubMed:11137219, ECO:0000269|PubMed:7558941, ECO:0000269|PubMed:7584149, ECO:0000269|PubMed:7989753}. Early endosome {ECO:0000269|PubMed:16366734}.; SUBCELLULAR LOCATION: [Isoform 6]: Secreted {ECO:0000269|PubMed:7989753}.; SUBCELLULAR LOCATION: [Isoform 7]: Secreted {ECO:0000269|PubMed:11137219}.; SUBCELLULAR LOCATION: Cell projection, filopodium membrane {ECO:0000269|PubMed:26460007}. Note=HLA-G trogocytosis from extravillous trophoblast's filopodia occurs in the majority of decidual NK cells. {ECO:0000269|PubMed:26460007}.",SP,0.000305,0.999657,CS pos: 24-25. Pr: 0.9745,False,6,,1,False,False,Golgi apparatus; endosome; coated vesicle; side of membrane; extracellular region; filopodium; membrane; membrane protein complex; vesicle; cell periphery,,,,0.3222,0.1627,0.0
P21397,AOFA_HUMAN,Amine oxidase [flavin-containing] A (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A),MAOA,Homo sapiens (Human),527,"TRANSMEM 498..518; /note=""Helical; Anchor for type IV membrane protein""",,cytosol [GO:0005829]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],biogenic amine metabolic process [GO:0006576]; dopamine catabolic process [GO:0042420]; positive regulation of signal transduction [GO:0009967],flavin adenine dinucleotide binding [GO:0050660]; monoamine oxidase activity [GO:0097621]; primary methylamine oxidase activity [GO:0008131],cytosol [GO:0005829]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; flavin adenine dinucleotide binding [GO:0050660]; monoamine oxidase activity [GO:0097621]; primary methylamine oxidase activity [GO:0008131]; biogenic amine metabolic process [GO:0006576]; dopamine catabolic process [GO:0042420]; positive regulation of signal transduction [GO:0009967],GO:0005739; GO:0005741; GO:0005829; GO:0006576; GO:0008131; GO:0009967; GO:0042420; GO:0050660; GO:0097621,SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250|UniProtKB:P21396}; Single-pass type IV membrane protein {ECO:0000250|UniProtKB:P21396}; Cytoplasmic side {ECO:0000250|UniProtKB:P21396}.,OTHER,0.999968,7.5e-05,,False,9,,1,False,True,cytosol; outer membrane; mitochondrion,DP03862,0.14041745730550284,DP03862r001;DP03862r002;DP03862r003,0.1755,0.0057,0.0
P27338,AOFB_HUMAN,Amine oxidase [flavin-containing] B (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B),MAOB,Homo sapiens (Human),520,"TRANSMEM 490..516; /note=""Helical; Anchor for type IV membrane protein""",,mitochondrial envelope [GO:0005740]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739],dopamine catabolic process [GO:0042420]; hydrogen peroxide biosynthetic process [GO:0050665]; substantia nigra development [GO:0021762],electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; monoamine oxidase activity [GO:0097621]; primary methylamine oxidase activity [GO:0008131],mitochondrial envelope [GO:0005740]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; monoamine oxidase activity [GO:0097621]; primary methylamine oxidase activity [GO:0008131]; dopamine catabolic process [GO:0042420]; hydrogen peroxide biosynthetic process [GO:0050665]; substantia nigra development [GO:0021762],GO:0005739; GO:0005740; GO:0005741; GO:0008131; GO:0009055; GO:0021762; GO:0042420; GO:0050660; GO:0050665; GO:0097621,SUBCELLULAR LOCATION: Mitochondrion outer membrane; Single-pass type IV membrane protein; Cytoplasmic side.,OTHER,1.0,0.0,,False,4,,1,False,True,mitochondrion; outer membrane,,,,0.1868,0.0212,0.0
P28067,DMA_HUMAN,"HLA class II histocompatibility antigen, DM alpha chain (MHC class II antigen DMA) (Really interesting new gene 6 protein)",HLA-DMA DMA RING6,Homo sapiens (Human),261,"TRANSMEM 234..254; /note=""Helical""; /evidence=""ECO:0000255""",,cell surface [GO:0009986]; intracellular membrane-bounded organelle [GO:0043231]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; MHC class II protein complex [GO:0042613],adaptive immune response [GO:0002250]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; peptide antigen assembly with MHC class II protein complex [GO:0002503]; positive regulation of immune response [GO:0050778]; positive regulation of T cell activation [GO:0050870],MHC class II protein complex binding [GO:0023026]; peptide antigen binding [GO:0042605],cell surface [GO:0009986]; intracellular membrane-bounded organelle [GO:0043231]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; MHC class II protein complex [GO:0042613]; MHC class II protein complex binding [GO:0023026]; peptide antigen binding [GO:0042605]; adaptive immune response [GO:0002250]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; peptide antigen assembly with MHC class II protein complex [GO:0002503]; positive regulation of immune response [GO:0050778]; positive regulation of T cell activation [GO:0050870],GO:0002250; GO:0002503; GO:0005765; GO:0009986; GO:0016020; GO:0019886; GO:0023026; GO:0031902; GO:0042605; GO:0042613; GO:0043231; GO:0050778; GO:0050870,SUBCELLULAR LOCATION: Late endosome membrane; Single-pass type I membrane protein. Lysosome membrane; Single-pass type I membrane protein. Note=Localizes to late endocytic compartment. Associates with lysosome membranes.,SP,0.000224,0.999762,CS pos: 26-27. Pr: 0.9789,False,7,,1,False,False,cell surface; intracellular organelle; endosome; vacuole; membrane; membrane protein complex,,,,0.1954,0.0307,0.0
P29016,CD1B_HUMAN,T-cell surface glycoprotein CD1b (CD antigen CD1b),CD1B,Homo sapiens (Human),333,"TRANSMEM 304..324; /note=""Helical""; /evidence=""ECO:0000255""",,cell surface [GO:0009986]; cytosol [GO:0005829]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; plasma membrane [GO:0005886],"adaptive immune response [GO:0002250]; antigen processing and presentation, endogenous lipid antigen via MHC class Ib [GO:0048006]; antigen processing and presentation, exogenous lipid antigen via MHC class Ib [GO:0048007]; immune response [GO:0006955]; positive regulation of T cell mediated cytotoxicity [GO:0001916]",endogenous lipid antigen binding [GO:0030883]; exogenous lipid antigen binding [GO:0030884]; lipopeptide binding [GO:0071723],"cell surface [GO:0009986]; cytosol [GO:0005829]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; plasma membrane [GO:0005886]; endogenous lipid antigen binding [GO:0030883]; exogenous lipid antigen binding [GO:0030884]; lipopeptide binding [GO:0071723]; adaptive immune response [GO:0002250]; antigen processing and presentation, endogenous lipid antigen via MHC class Ib [GO:0048006]; antigen processing and presentation, exogenous lipid antigen via MHC class Ib [GO:0048007]; immune response [GO:0006955]; positive regulation of T cell mediated cytotoxicity [GO:0001916]",GO:0001916; GO:0002250; GO:0005615; GO:0005765; GO:0005794; GO:0005829; GO:0005886; GO:0006955; GO:0009897; GO:0009986; GO:0010008; GO:0016020; GO:0030883; GO:0030884; GO:0043231; GO:0048006; GO:0048007; GO:0071723,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10899914, ECO:0000269|PubMed:10981968, ECO:0000269|PubMed:14716313}; Single-pass type I membrane protein {ECO:0000255}. Endosome membrane {ECO:0000269|PubMed:10899914, ECO:0000269|PubMed:14716313}; Single-pass type I membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:10899914, ECO:0000269|PubMed:10981968, ECO:0000269|PubMed:14716313}; Single-pass type I membrane protein {ECO:0000255}. Note=Subject to intracellular trafficking between the cell membrane, endosomes and lysosomes. {ECO:0000269|PubMed:10899914, ECO:0000269|PubMed:10981968, ECO:0000269|PubMed:14716313}.",SP,0.001148,0.998827,CS pos: 18-19. Pr: 0.9718,False,9,,1,False,False,cell surface; cytosol; endosome; side of membrane; extracellular region; Golgi apparatus; intracellular organelle; vacuole; membrane; cell periphery,,,,0.245,0.0691,0.0
P29017,CD1C_HUMAN,T-cell surface glycoprotein CD1c (CD antigen CD1c),CD1C,Homo sapiens (Human),333,"TRANSMEM 303..323; /note=""Helical""; /evidence=""ECO:0000255""",,endoplasmic reticulum [GO:0005783]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; plasma membrane [GO:0005886],"adaptive immune response [GO:0002250]; antigen processing and presentation, endogenous lipid antigen via MHC class Ib [GO:0048006]; antigen processing and presentation, exogenous lipid antigen via MHC class Ib [GO:0048007]; immune response [GO:0006955]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; T cell activation involved in immune response [GO:0002286]",endogenous lipid antigen binding [GO:0030883]; exogenous lipid antigen binding [GO:0030884]; glycolipid binding [GO:0051861]; lipopeptide binding [GO:0071723],"endoplasmic reticulum [GO:0005783]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; plasma membrane [GO:0005886]; endogenous lipid antigen binding [GO:0030883]; exogenous lipid antigen binding [GO:0030884]; glycolipid binding [GO:0051861]; lipopeptide binding [GO:0071723]; adaptive immune response [GO:0002250]; antigen processing and presentation, endogenous lipid antigen via MHC class Ib [GO:0048006]; antigen processing and presentation, exogenous lipid antigen via MHC class Ib [GO:0048007]; immune response [GO:0006955]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; T cell activation involved in immune response [GO:0002286]",GO:0001916; GO:0002250; GO:0002286; GO:0005615; GO:0005764; GO:0005783; GO:0005794; GO:0005886; GO:0006955; GO:0009897; GO:0010008; GO:0030883; GO:0030884; GO:0043231; GO:0048006; GO:0048007; GO:0051861; GO:0071723,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10890914, ECO:0000269|PubMed:10899914}; Single-pass type I membrane protein {ECO:0000255}. Endosome membrane {ECO:0000269|PubMed:10890914, ECO:0000269|PubMed:3097645}; Single-pass type I membrane protein. Lysosome {ECO:0000269|PubMed:10890914}. Note=Subject to intracellular trafficking between the cell membrane and endosomes. {ECO:0000269|PubMed:10890914, ECO:0000269|PubMed:3097645}.",SP,0.000245,0.99974,CS pos: 19-20. Pr: 0.9768,False,10,,1,False,False,endomembrane system; endosome; side of membrane; extracellular region; Golgi apparatus; intracellular organelle; vacuole; cell periphery,,,,0.2421,0.1201,0.0
P30519,HMOX2_HUMAN,Heme oxygenase 2 (HO-2) (EC 1.14.14.18) [Cleaved into: Heme oxygenase 2 soluble form],HMOX2 HO2,Homo sapiens (Human),316,"TRANSMEM 296..316; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255""",,endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579],heme catabolic process [GO:0042167]; heme oxidation [GO:0006788]; response to hypoxia [GO:0001666]; response to oxidative stress [GO:0006979],heme binding [GO:0020037]; heme oxygenase (decyclizing) activity [GO:0004392]; metal ion binding [GO:0046872],endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]; heme binding [GO:0020037]; heme oxygenase (decyclizing) activity [GO:0004392]; metal ion binding [GO:0046872]; heme catabolic process [GO:0042167]; heme oxidation [GO:0006788]; response to hypoxia [GO:0001666]; response to oxidative stress [GO:0006979],GO:0001666; GO:0004392; GO:0005789; GO:0005886; GO:0006788; GO:0006979; GO:0016020; GO:0020037; GO:0035579; GO:0042167; GO:0046872,SUBCELLULAR LOCATION: Microsome membrane {ECO:0000305|PubMed:7890772}; Single-pass type IV membrane protein {ECO:0000255}; Cytoplasmic side {ECO:0000250|UniProtKB:P09601}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P09601}; Single-pass type IV membrane protein {ECO:0000255}; Cytoplasmic side {ECO:0000250|UniProtKB:P09601}.,OTHER,1.0,4e-06,,False,0,,1,False,False,endomembrane system; membrane; cell periphery; secretory vesicle,DP04179,0.14240506329113925,DP04179r001;DP04179r002;DP04179r003,0.2928,0.1487,0.0918
P31513,FMO3_HUMAN,Flavin-containing monooxygenase 3 (EC 1.14.13.148) (EC 1.14.13.32) (EC 1.14.13.8) (Dimethylaniline monooxygenase [N-oxide-forming] 3) (Dimethylaniline oxidase 3) (FMO II) (FMO form 2) (Hepatic flavin-containing monooxygenase 3) (FMO 3) (Trimethylamine monooxygenase),FMO3,Homo sapiens (Human),532,"TRANSMEM 510..530; /note=""Helical""; /evidence=""ECO:0000255""",,endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231],taurine biosynthetic process [GO:0042412],"albendazole monooxygenase activity [GO:0047638]; flavin adenine dinucleotide binding [GO:0050660]; hypotaurine monooxygenase activity [GO:0047822]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]; trimethylamine monooxygenase activity [GO:0034899]","endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; albendazole monooxygenase activity [GO:0047638]; flavin adenine dinucleotide binding [GO:0050660]; hypotaurine monooxygenase activity [GO:0047822]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]; trimethylamine monooxygenase activity [GO:0034899]; taurine biosynthetic process [GO:0042412]",GO:0004499; GO:0005789; GO:0034899; GO:0042412; GO:0043231; GO:0047638; GO:0047822; GO:0050660; GO:0050661,SUBCELLULAR LOCATION: Microsome membrane {ECO:0000250|UniProtKB:P32417}; Single-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P32417}; Single-pass membrane protein {ECO:0000255}.,OTHER,1.0,0.0,,False,2,,1,False,False,endomembrane system; intracellular organelle,,,,0.187,0.0338,0.0
